username,computer
smit0132,OUCE39-99
smit0136,OUCE39-167
qehs0829,OUCE38-98
cenv0565,OUCE38-68
cenv0362,OUCE39-191
cenv0483,OUCE38-113
trop0108,OUCE39-166
wolf4539,OUCE39-113
kebl5031,OUCE38-216
shil4672,OUCE39-203
envc0024,OUCE38-146
envc0080,OUCE38-82
orie2257,OUCE39-28
envc0059,OUCE39-145
tran0001,OUCE39-32
cenv0541,OUCE38-141
envc0016,OUCE39-27
cenv0578,OUCE39-83
envc0036,OUCE39-49
scro2273,OUCE38-186
kell3007,OUCE38-205
cenv0169,OUCE39-25
spet2050,ouce38-148
cenv0087,OUCE39-158
lina2710,OUCE38-203
admn1441,OUCE38-243
cenv0272,OUCE38-193
cenv0419,OUCE39-208
cenv0500,OUCE38-221
cenv0370,OUCE38-232
cenv0348,OUCE39-131
cenv0436,OUCE38-77
cenv0229,OUCE39-188
cenv0561,OUCE39-105
envc0115,OUCE38-136
hert1424,OUCE38-120
cont5092,OUCE39-164
cenv0607,OUCE39-10
envc0026,OUCE38-78
worc3613,OUCE39-84
cenv0360,OUCE39-139
scat2502,OUCE39-43
bras3295,OUCE39-80
geog0144,OUCE38-133
shil0823,OUCE38-122
geog0097,OUCE38-127
lina2256,OUCE38-145
eart0240,OUCE38-70
cenv0543,OUCE38-124
geog0101,OUCE38-188
envc0055,OUCE39-87
geog0066,OUCE39-231
safe0014,OUCE38-67
clme1197,OUCE38-177
envc0101,OUCE39-22
otss0172,OUCE39-18
clme0516,OUCE39-29
cenv0484,OUCE38-131
admn3319,OUCE38-187
cenv0142,OUCE38-128
cenv0026,OUCE38-176
cenv0279,OUCE39-163
cenv0282,OUCE38-219
cenv0526,OUCE39-44
otss0008,OUCE39-38
cenv0270,OUCE39-212
sjoh4383,OUCE39-133
smit0129,ouce39-107
kell2918,OUCE39-154
cenv0177,OUCE38-182
cenv0247,OUCE38-81
smit0013,OUCE39-93
geog0027,OUCE39-157
cenv0002,OUCE38-218
cenv0372,OUCE39-210
magd1352,OUCE39-92
smit0130,OUCE38-211
jesu2015,OUCE39-234
geog0191,OUCE39-82
bras2594,OUCE39-173
admn3549,OUCE38-137
sant2051,OUCE39-106
smit0134,OUCE39-216
cenv0588,OUCE38-170
cenv0376,OUCE38-108
tran0001,OUCE39-186
geog0213,OUCE38-61
cenv0510,OUCE39-11
cenv0527,OUCE39-160
cenv0496,OUCE38-217
cenv0125,OUCE39-144
geog0032,OUCE39-104
lina1383,OUCE38-173
gree1523,OUCE38-175
jesu0477,OUCE39-48
sedm4148,OUCE39-86
rege1218,OUCE38-139
kebl4265,OUCE39-132
wolf4271,OUCE38-174
lina2289,OUCE38-129
jesu2497,OUCE39-180
lina2017,OUCE39-102
sjoh3824,OUCE83-142
geog0140,OUCE38-239
hert2228,OUCE39-137
geog0091,OUCE39-153
geog0079,OUCE38-125
arch0195,OUCE39-70
geog0087,OUCE39-217
cpeach,OUCE39-81
chri0468,OUCE39-161
grte0826,OUCE39-50
soca0194,OUCE39-412
cenv0571,OUCE38-202
lina2488,OUCE38-178
cenv0566,OUCE39-24
cenv0533,OUCE39-20
lady3648,OUCE39-12
admn0190,OUCE38-222
cenv0107,OUCE38-121
admn0818,OUCE38-189
cenv0221,OUCE39-147
spet1576,OUCE39-177
geog0141,OUCE38-206
gree0911,OUCE38-235
cenv0361,OUCE39-127
lina2638,OUCE38-227
cenv0425,OUCE39-41
scat6657,OUCE38-237
cenv0016,OUCE38-135
cenv0447,OUCE39-223
cenv0457,OUCE39-169
hert4027,OUCE38-97
cenv0008,OUCE39-150
cenv0341,OUCE39-162
geogrw,OUCE39-19
geog0158,OUCE38-242
geog0129,OUCE38-241
cenv0187,OUCE39-110
cenv0427,OUCE38-246
cenv0384,OUCE39-209
cenv0558,OUCE39-168
shil3810,OUCE38-107
cenv0438,OUCE39-190
cenv0278,OUCE38-207
cenv0389,OUCE38-87
cenv0193,OUCE39-40
scat2582,OUCE39-159
ndos0784,OUCE39-114
cenv0479,OUCE39-23
cenv0581,OUCE39-101
lina2556,OUCE39-45
envc0007,OUCE38-191
mert2014,OUCE38-230
wolf3380,OUCE39-37
lina3047,OUCE39-222
trin2717,OUCE39-42
pberry,OUCE38-184
cenv0143,OUCE39-115
educ0065,OUCE39-204
cenv0523,OUCE39-141
cenv0220,OUCE39-135
envc0051,OUCE39-88
envc0105,OUCE39-36
cenv0023,OUCE38-194
kebl2386,OUCE39-187
cenv0531,OUCE38-114
scro0932,OUCE39-146
